lnx
A.P.B. (USA, Europe)|68A0ACAB,F6FB48FB
Alien vs Predator (USA) (Proto) (1993-12-17)|D6843E8E,540E9BB7
Awesome Golf (USA, Europe)|2B90E818,0483CD2A
Baseball Heroes (USA, Europe)|BB5DE237,3943C116
Basketbrawl (USA, Europe)|CF67513A,4161BB4A
Batman Returns (USA, Europe)|68CD6DCB,277F82C2
Battle Wheels (USA, Europe)|57EFFF37,779FAECE
Battlezone 2000 (USA, Europe)|E3AF09CE,30FEE726
Bill & Ted's Excellent Adventure (USA, Europe)|C91AFF8A,143A313E
Block Out (USA, Europe)|C96E5BC6,3CD75DF3
Blue Lightning (USA, Europe)|35AF173C,DAF587B1
Blue Lightning (USA, Europe) (Demo)|8543CC15,BFE36525
Bubble Trouble (USA, Europe)|F85D0806,333DAECE
California Games (USA, Europe)|DA7D96FD,A08F0B59
Centipede (USA) (Proto)|97501709,071A2E46
Checkered Flag (USA, Europe)|6687F846,19C5A7A5
Chip's Challenge (USA, Europe)|F45F784A,6A5F53ED
Crystal Mines II (USA, Europe)|0535E6C9,AEC474C8
Daemonsgate (USA) (Proto)|9E6B7645,99729395
Desert Strike - Return to the Gulf (USA, Europe)|2EAAE973,B9AC1FE5
Dinolympics (USA, Europe)|0ED9EB06,50386CFA
Dirty Larry - Renegade Cop (USA, Europe)|C6017733,D565FBB7
Double Dragon (USA, Europe)|BCB2E75A,FBFC0F05
Dracula the Undead (USA, Europe)|0F4B4071,33BB74C7
Electrocop (USA, Europe)|765D742D,BD97116B
European Soccer Challenge (USA, Europe)|8EC43452,F83397F9
Eye of the Beholder (USA) (Proto)|A0010717,6BCEAA9C
Eye of the Beholder (USA) (Unl)|F1B307CB
Fat Bobby (USA, Europe)|03F4E2A7,9034EE27
Fidelity Ultimate Chess Challenge, The (USA, Europe)|BD77D5F2,7E4B5945
Gates of Zendocon (USA, Europe)|D852DBA7,494CC568
Gauntlet - The Third Encounter (USA, Europe)|8E0908E5,7F0EC7AD
