zip
005|2bbd8481
1941|9389cd2e|1941 - Counter Attack (World)
1941j|c56953a1|1941 - Counter Attack (Japan)
1942|0ef76330|1942 (set 1)
1942a|3e11ae22|1942 (set 2)
1942b|b56de490|1942 (set 3)
1943|5b44b4dc|1943 - The Battle of Midway (US)
1943j|545f3f4e|1943 - The Battle of Midway (Japan)
1943kai|e7c8efef|1943 Kai - Midway Kaisen
1943mii|941663ee|1943 - The Battle of Midway Mark II (US)
1944|635600dd|1944: The Loop Master (USA 000620)
19xx|f3712e5e|19XX: The War Against Destiny (USA 951207)
19xxh|05a47742|19XX: The War Against Destiny (Hispanic 951218)
19xxjr1|2f6d948e|19XX: The War Against Destiny (Japan 951207)
2020bb|5325e2d2|2020 Super Baseball (set 1)
2020bbh|74270286|2020 Super Baseball (set 2)
280zzzap|c476b857|Datsun 280 Zzzap
3countb|00eaca18|3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043)
3kokushi|ee207169|Sankokushi (Japan)
3stooges|5fe01517|The Three Stooges In Brides Is Brides
3wonders|6f174b8d|Three Wonders (World 910520)
3wonderu|bbc217f9|Three Wonders (US 910520)
40love|c7304fc0|Forty-Love
47pie2|09321e19|Idol Janshi Su-Chi-Pie 2 (v1.1)
47pie2o|7100955c|Idol Janshi Su-Chi-Pie 2 (v1.0)
4dwarrio|8f8b819b|4-D Warriors
4enraya|50d10961|4 En Raya
4in1|fd889783|4 Fun in 1
4in1boot|0a78ac38|4-in-1 bootleg
600|e8e6b845
64streej|38192b3d|64th. Street - A Detective Story (Japan)
64street|5ab8660e|64th. Street - A Detective Story (World)
720|50b056d4|720 Degrees (rev 4)
720g|e85cb049|720 Degrees (German, rev 2)
720gr1|03f6fadd|720 Degrees (German, rev 1)
720r1|31c4b8bf|720 Degrees (rev 1)
720r2|810c6b24|720 Degrees (rev 2)
720r3|41cb9f85|720 Degrees (rev 3)
7jigen|e5a13dc4|7jigen no Youseitachi - Mahjong 7 Dimensions (Japan)
7toitsu|8ec4f056|Chi-Toitsu
800fath|572dcbbd|800 Fathoms
88games|c1544e79|'88 Games
8ball|941a5bdb|Video Eight Ball
8ball1|d7609e34|Video Eight Ball (Rev.1)
8ballact|d687a730|Eight Ball Action (DK conversion)
8ballat2|5ae05495|Eight Ball Action (DKJr conversion)
8bpm|783554f4|Eight Ball Action (Pac-Man conversion)
99lstwar|101660ce|'99: The Last War
99lstwra|bfdda297|'99: The Last War (alternate)
a51mxr3k|985fabf5|Area 51 - Maximum Force Duo (R3000)
aafb|2be03fdc|All American Football (rev E)
aafbb|2ea71024|All American Football (rev B)
aafbc|b84fe68f|All American Football (rev C)
aafbd2p|be1c0297|All American Football (rev D, 2 Players)
abaseb|6e463480|Atari Baseball (set 1)
abaseb2|ae7fb060|Atari Baseball (set 2)
aburner|e8c1d4e6|After Burner (Japan)
aburner2|d4c7bbf6|After Burner II
ace|3db2236f|Ace
acitya|36431152|Atlantic City Action
acrobatm|5edb1b38|Acrobat Mission
actfanc1|1cc453c5|Act-Fancer Cybernetick Hyper Weapon (World revision 1)
actfancj|9e4bc8b4|Act-Fancer Cybernetick Hyper Weapon (Japan revision 1)
actfancr|9fc0afe8|Act-Fancer Cybernetick Hyper Weapon (World revision 2)
aeroboto|abeacaec|Aeroboto
aerofgt|394fbc3e|Aero Fighters
aerofgtb|0df370e9|Aero Fighters (Turbo Force hardware set 1)
aerofgtc|03c6ccdb|Aero Fighters (Turbo Force hardware set 2)
agallet|9d72efda|Air Gallet
airattck|0bab2650|Air Attack (set 1)
airattcka|9c33da9b|Air Attack (set 2)
airbustj|1dbd6225|Air Buster (Japan)
airbustr|d9e397ed|Air Buster
aircombj|8a12bd51|Air Combat (Japan)
aircombu|30a6c5dc|Air Combat (US)
airduel|9d4f621c|Air Duel (Japan)
airwolf|a1940a7d|Airwolf
ajax|00117bea|Ajax
ajaxj|30eb4f12|Ajax (Japan)
akiss|63cbbff4|Mahjong Angel Kiss
akkanvdr|ad6a5152|Akkanvader (Japan)
alcon|1abda3c1|Alcon
alexkida|a8c2bb50|Alex Kidd: The Lost Stars (set 2)
alien3|1afaca14|Alien3: The Gun
alienar|01ace2ab|Alien Arena
alienaru|05033041|Alien Arena(upgrade)
alieninv|9f57e92d|Alien Invasion Part II
aliens|0c6b41c7|Aliens (World set 1)
aliens2|b10ea148|Aliens (World set 2)
aliensj|129e8fd7|Aliens (Japan)
aliensu|e4cba78b|Aliens (US)
aliensyn|382d4f53|Alien Syndrome (set 1)
aligatun|5819f968|Alligator Hunt (unprotected)
alleymas|19a6552e|Alley Master
alphaho|184c8caa|Alpha Fighter - Head On
alpham2|79e8e923|Alpha Mission II / ASO II - Last Guardian
alphaona|67526513|Alpha One (prototype, 5 lives)
