zip
005|2bbd8481
1941|9389cd2e|1941 - Counter Attack (World)
1941j|5c6e2b4a|1941 - Counter Attack (Japan)
1942|0ef76330|1942 (set 1)
1942a|5cd4384e|1942 (set 2)
1942b|355196f6|1942 (set 3)
1943|5b44b4dc|1943 - The Battle of Midway (US)
1943j|02670239|1943 - The Battle of Midway (Japan)
1943kai|e7c8efef|1943 Kai - Midway Kaisen
1944|635600dd|1944: The Loop Master (US 000620)
19xx|f3712e5e|19XX: The War Against Destiny (US 951207)
19xxh|3182c8e7|19XX: The War Against Destiny (Hispanic 951218)
19xxjr1|6c013571|19XX: The War Against Destiny (Japan 951207)
2020bb|eb3947d9|2020 Super Baseball (set 1)
2020bbh|49c9262d|2020 Super Baseball (set 2)
280zzzap|c476b857|Datsun 280 Zzzap
3countb|4a5b519d|3 Count Bout / Fire Suplex
3kokushi|ee207169|Sankokushi (Japan)
3stooges|5fe01517|The Three Stooges In Brides Is Brides
3wonders|6f174b8d|Three Wonders (World 910520)
3wonderu|42a1b2af|Three Wonders (US 910520)
40love|c7304fc0|Forty-Love
47pie2|09321e19|Idol Janshi Su-Chi-Pie 2 (v1.1)
47pie2o|97f1499c|Idol Janshi Su-Chi-Pie 2 (v1.0)
4dwarrio|8f8b819b|4-D Warriors
4enraya|50d10961|4 En Raya
4in1|fd889783|4 Fun in 1
4in1boot|0a78ac38|4-in-1 bootleg
600|d5525571
64streej|1ffe5fb9|64th. Street - A Detective Story (Japan)
64street|5ab8660e|64th. Street - A Detective Story (World)
720|50b056d4|720 Degrees (rev 4)
720g|270e8fee|720 Degrees (German, rev 2)
720gr1|ee304766|720 Degrees (German, rev 1)
720r1|7b434fe4|720 Degrees (rev 1)
720r2|6a69c5f7|720 Degrees (rev 2)
720r3|471335e1|720 Degrees (rev 3)
7jigen|e5a13dc4|7jigen no Youseitachi - Mahjong 7 Dimensions (Japan)
7toitsu|bcd6c119|Chi-Toitsu
800fath|94945f99|800 Fathoms
88games|c1544e79|'88 Games
8ball|e01e7664|Video Eight Ball
8ball1|61522a1d|Video Eight Ball (Rev.1)
8ballact|d687a730|Eight Ball Action (DK conversion)
8ballat2|79ca2322|Eight Ball Action (DKJr conversion)
8bpm|783554f4|Eight Ball Action (Pac-Man conversion)
99lstwar|29da73f3|'99: The Last War
99lstwra|da1053ea|'99: The Last War (alternate)
a51mxr3k|985fabf5|Area 51 / Maximum Force Duo (R3000)
aafb|2be03fdc|All American Football (rev E)
aafbb|4f2a387a|All American Football (rev B)
aafbc|fe6dfd0c|All American Football (rev C)
aafbd2p|eec3de3b|All American Football (rev D, 2 Players)
abaseb|6e463480|Atari Baseball (set 1)
abaseb2|0e133d3e|Atari Baseball (set 2)
aburner|fcb29e7e|After Burner (Japan)
aburner2|d4c7bbf6|After Burner II
ace|3db2236f|Ace
acitya|714339aa|Atlantic City Action
acrobatm|5edb1b38|Acrobat Mission
actfanc1|03db4f0a|Act-Fancer Cybernetick Hyper Weapon (World revision 1)
actfancj|69e2089e|Act-Fancer Cybernetick Hyper Weapon (Japan revision 1)
actfancr|9fc0afe8|Act-Fancer Cybernetick Hyper Weapon (World revision 2)
aeroboto|f73b6a2d|Aeroboto
aerofgt|394fbc3e|Aero Fighters
aerofgtb|779c9ba4|Aero Fighters (Turbo Force hardware set 1)
aerofgtc|6633edf3|Aero Fighters (Turbo Force hardware set 2)
agallet|9d72efda|Air Gallet
airbustj|35ba7c90|Air Buster (Japan)
airbustr|d9e397ed|Air Buster
aircombj|8a12bd51|Air Combat (Japan)
aircombu|36ab2c1f|Air Combat (US)
airduel|9d4f621c|Air Duel (Japan)
airwolf|a1940a7d|Airwolf
ajax|00117bea|Ajax
ajaxj|d4f139d1|Ajax (Japan)
akiss|63cbbff4|Mahjong Angel Kiss
akkanvdr|d9e88736|Akkanvader (Japan)
alexkida|abb8c99e|Alex Kidd: The Lost Stars (set 2)
alien3|1afaca14|Alien3: The Gun
alieninv|9f57e92d|Alien Invasion Part II
aliens|0c6b41c7|Aliens (World set 1)
aliens2|a29c5311|Aliens (World set 2)
aliensj|4472fd0e|Aliens (Japan)
aliensu|de36d208|Aliens (US)
aliensyn|382d4f53|Alien Syndrome (set 1)
aligatun|877bfeb8|Alligator Hunt (unprotected)
alleymas|19a6552e|Alley Master
alphaho|184c8caa|Alpha Fighter / Head On
alpham2|2fce6df5|Alpha Mission II / ASO II - Last Guardian
alphaona|67526513|Alpha One (prototype, 5 lives)
alphaone|d26f9b80|Alpha One (prototype, 3 lives)
alphaxz|0ef150b1|The Alphax Z (Japan)
alpine|14d519bf|Alpine Ski (set 1)
alpinea|427822c1|Alpine Ski (set 2)
altbeas2|793c503b|Altered Beast (Version 2)
altbeast|b2bd38e0|Altered Beast (Version 1)
amatelas|e9756f02|Sei Senshi Amatelass
amazon|8f3c5b44|Soldier Girl Amazon
ambush|ba16dfde|Ambush
ambusht|dd1d25a7|Ambush (Tecfri)
amidar|bbe0cb50|Amidar
amidaro|f36e620a|Amidar (Olympia)
amidars|8b40e58c|Amidar (Scramble hardware)
amidaru|e223d4cf|Amidar (Stern)
amigo|af1a9270|Amigo
amspdwy|7510a83c|American Speedway (set 1)
amspdwya|3f661f41|American Speedway (set 2)
androdun|e7264415|Andro Dunos
angelkds|ad0663ea|Angel Kids (Japan)
anteater|bb8f8b36|Anteater
aodk|8401f172|Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku
aof|d3bce925|Art of Fighting / Ryuuko no Ken
aof2|78105c6a|Art of Fighting 2 / Ryuuko no Ken 2
aof3|58c7a739|Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden
apb|a24eecc4|APB - All Points Bulletin (rev 7)
apb1|be6cd10b|APB - All Points Bulletin (rev 1)
apb2|7701d9c7|APB - All Points Bulletin (rev 2)
apb3|826f4820|APB - All Points Bulletin (rev 3)
apb4|c157e56f|APB - All Points Bulletin (rev 4)
apb5|48187727|APB - All Points Bulletin (rev 5)
apb6|1eed4774|APB - All Points Bulletin (rev 6)
apbf|191f6d86|APB - All Points Bulletin (French)
apbg|358bf7ff|APB - All Points Bulletin (German)
aponow|fd3aa803|Apocaljpse Now
apparel|607c8495|Apparel Night (Japan 860929)
appoooh|4bfda825|Appoooh
aquajack|fe4953d0|Aqua Jack (World)
aquajckj|4a4b265b|Aqua Jack (Japan)
aquarium|ac524c5f|Aquarium (Japan)
aquarush|7522b95c|Aqua Rush (AQ1/VER.A)
arabfgt|fff72220|Arabian Fight
arabiamj|7a98ecdd|Arabian Magic (Japan)
arabiamu|6dd3ae9c|Arabian Magic (US)
arabian|8fb5aa1e|Arabian
arabiana|3ccb24d5|Arabian (Atari)
arabianm|33a9a1e4|Arabian Magic (World)
arbalest|b3981136|Arbalester
arcadecl|cc760714|Arcade Classics (prototype)
arcadia|58ffd412|Waga Seishun no Arcadia
archriv2|4fa10e40|Arch Rivals (rev 2.0)
archrivl|8544f7f9|Arch Rivals (rev 4.0)
area51|2b2baa59|Area 51
area51mx|c5c474a9|Area 51 / Maximum Force Duo v2.0
area88|a45af2a8|Area 88 (Japan)
argus|277b167e|Argus
arkangc|6f4e4c1a|Arkanoid (Game Corporation bootleg)
arkanoid|d4bc8be4|Arkanoid (World)
arkarea|0f9c2e2c|Ark Area
arkatayt|6319bcf2|Arkanoid (Tayto bootleg, Japanese)
arkatour|534620d2|Tournament Arkanoid (US)
arkbloc2|6c5d4e43|Block (Game Corporation bootleg)
arknid2j|32bd6d4f|Arkanoid - Revenge of DOH (Japan)
arknid2u|4a89847e|Arkanoid - Revenge of DOH (US)
arknoid2|c9fb6010|Arkanoid - Revenge of DOH (World)
arknoidj|a6ea0e70|Arkanoid (Japan)
arknoidu|084f86a6|Arkanoid (US)
arknoiuo|db3e6efa|Arkanoid (US, older)
arkretrn|1353a009|Arkanoid Returns (Japan)
arlingtn|1a5237e1|Arlington Horse Racing (v1.21-D)
armedf|fc9308de|Armed Formation
armora|c99d0925|Armor Attack
armorap|d0a0525f|Armor Attack (prototype)
armorar|cd02f655|Armor Attack (Rock-ola)
armorca2|8c947378|Armored Car (set 2)
armorcar|015b33f7|Armored Car (set 1)
armwar|5a4a4b6e|Armored Warriors (Euro 941011)
armwaru|cc4e7c23|Armored Warriors (US 941024)
armwrest|81907eeb|Arm Wrestling
ashnojoe|d7ab42e7|Ashita no Joe (Japan)
ashura|d141bf54|Ashura Blaster (Japan)
ashurau|e29308fc|Ashura Blaster (US)
aso|1ae3621a|ASO - Armored Scrum Object
assault|8f003124|Assault
assaultj|0e6d4dbb|Assault (Japan)
assaultp|bf242b9f|Assault Plus (Japan)
astdelu1|b686666b|Asteroids Deluxe (rev 1)
astdelux|0e9a1c91|Asteroids Deluxe (rev 2)
asterix|b160318c|Asterix (World ver. EAD)
asterock|444347c2|Asterock
asteroi1|f72cc87d|Asteroids (rev 1)
asteroib|8139156a|Asteroids (bootleg on Lunar Lander hardware)
asteroid|3a05e23f|Asteroids (rev 2)
astinvad|d7cf09a8|Astro Invader
astormbl|f44f1e8d|Alien Storm (bootleg)
astrob|a2bebe9f|Astro Blaster (version 3)
astrob1|df26c589|Astro Blaster (version 1)
astrob2|641f416e|Astro Blaster (version 2)
astrof|9da569d3|Astro Fighter (set 1)
astrof2|c30e53e2|Astro Fighter (set 2)
astrof3|320f6d4a|Astro Fighter (set 3)
astrofl|b1853ddd|Astro Flash (Japan)
astrxeaa|ede04c47|Asterix (World ver. EAA)
astrxeac|bac9e9dc|Asterix (World ver. EAC)
astyanax|bcf42d2b|The Astyanax
asuka|6d481cfa|Asuka _ Asuka (Japan)
asurabld|73f9a4e6|Asura Blade - Sword of Dynasty (Japan)
asylum|9599f01a|Asylum (prototype)
atarifb|866149f6|Atari Football (revision 2)
atarifb1|fb4e15f7|Atari Football (revision 1)
atarifb4|900ebb98|Atari Football (4 players)
ataxx|6f3133f0|Ataxx (set 1)
ataxxa|d619874e|Ataxx (set 2)
ataxxj|ae31d31c|Ataxx (Japan)
atehate|4902b75d|Athena no Hatena ?
atetckt2|d264a03f|Tetris (Cocktail set 2)
atetcktl|4045558a|Tetris (Cocktail set 1)
atetris|fa49b677|Tetris (set 1)
atetrisa|39fb70e6|Tetris (set 2)
atetrisb|17495fdd|Tetris (bootleg)
athena|8ac9bacc|Athena
atlantis|c4d48e44|Battle of Atlantis (set 1)
atlants2|9d27d69d|Battle of Atlantis (set 2)
atomboy|64fd300b|Atomic Boy
atomicp|bf009c9f|Atomic Point
atompunk|04c395bf|New Atomic Punk - Global Quest (US)
aurail|2adcc187|Aurail (set 1)
auraila|cfc12ce9|Aurail (set 2)
avalnche|70e24341|Avalanche
avenger2|148d77ed|Avengers (US set 2)
avengers|5dad45ff|Avengers (US set 1)
avsp|cf674535|Alien vs. Predator (Euro 940520)
avspirit|6707417d|Avenging Spirit
avspj|6efdad8f|Alien vs. Predator (Japan 940520)
avspu|a3c95a4d|Alien vs. Predator (US 940520)
aztarac|ad36a737|Aztarac
azurian|e531aaa7|Azurian Attack
baddudes|c93499c3|Bad Dudes vs. Dragonninja (US)
badlands|971c231f|Bad Lands
bagman|b2334187|Bagman
bagmanmc|4d143fe6|Bagman (Moon Cresta hardware)
bagmans|69d210f4|Bagman (Stern set 1)
bagmans2|e040da5a|Bagman (Stern set 2)
bagnard|72bc4972|Le Bagnard
bakatono|b6e7a7ad|Bakatonosama Mahjong Manyuki
bakubaku|4d49e6f3|Baku Baku Animal
bakubrkr|70628f86|Bakuretsu Breaker
bakuhatu|892720c8|Mahjong Bakuhatsu Junjouden (Japan)
bakutotu|ac7ea7d4|Bakutotsu Kijuutei
balcube|2c3ccd56|Bal Cube
ballbomb|d8c9cbc6|Balloon Bomber
ballbros|c39a8a6e|Balloon Brothers
balonfgt|46a460f6|Vs. Balloon Fight
baluba|640d45af|Baluba-louk no Densetsu
bananadr|d39f1488|Mahjong Banana Dream [BET] (Japan 891124)
bandido|da3aab87|Bandido
bang|58c9c466|Bang!
bangball|4c149401|Bang Bang Ball (v1.05)
bangbead|44bedddb|Bang Bead
bangj|d576ba88|Gun Gabacho (Japan)
bankp|d612a0f6|Bank Panic
baraduka|e49e0fa8|Baraduke (set 2)
baraduke|7c98c942|Baraduke (set 1)
barricad|dbf0eb1e|Barricade
barrier|52e1705f|Barrier
basebal2|9d87b6dd|Baseball The Season II
batcir|bdee2401|Battle Circuit (Euro 970319)
batcirj|628eb4ee|Battle Circuit (Japan 970319)
batman|9dbd460a|Batman
batman2|1e53a1d4|Batman Part 2
batrider|516fd51a|Armed Police Batrider (Japan, version B)
batridra|c1ec55f5|Armed Police Batrider (Japan, version A)
batridrk|2964c066|Armed Police Batrider (Korea, version B)
batsugun|22069212|Batsugun
battlan2|ad02b8e0|Battle Lane! Vol. 5 (set 2)
battlan3|0212ede2|Battle Lane! Vol. 5 (set 3)
battlane|d0076279|Battle Lane! Vol. 5 (set 1)
battlcry|207bb5e2|Battlecry
battleg|f7f5a0f9|Battle Garegga - Type 2 (Denmark / China) (Tue Apr 2 1996)
battlega|f79ca531|Battle Garegga (Europe / USA / Japan / Asia) (Sat Feb 3 1996)
battlegb|b7ee9e13|Battle Garegga (Austria / Hong Kong) (Sat Mar 2 1996)
battlera|ddba2bd8|Battle Rangers (World)
battles|2e675e96|Battles
battlex|f6e61e07|Battle Cross
battlntj|59fa61cb|Battlantis (Japan)
battlnts|79281207|Battlantis
battroad|62dfc19b|The Battle-Road
batugnsp|7f64f5c3|Batsugun (Special Ver.)
bayroute|f0c60a19|Bay Route (set 1)
bbakradu|3dcec6df|Battle Bakraid - Unlimited version (Japan) (Tue Jun 8 1999)
bbakraid|0570da0e|Battle Bakraid (Japan) (Wed Apr 7 1999)
bballs|70ab4f51|Bouncing Balls
bbbxing|9b47d8ac|Best Bout Boxing
bbmanw|5e6629ae|Bomber Man World (World)
bbmanwj|40f67a70|Bomber Man World (Japan)
bbonk|b49b8a13|Bigfoot Bonkers
bbprot|39c604b7|Untitled Fighter 'BB' (prototype)
bbros|557e8774|Buster Bros. (US)
bbusters|0cdc34b1|Beast Busters (World ?)
bchopper|bb2ba4e2|Battle Chopper
bcrusher|b8423fe0|Bone Crusher
bcruzm12|844dd296|Battle Cruiser M-12
beaminv|51c74ff3|Beam Invader
beastf|c4c97703|Beastie Feastie
beathead|fe798ebd|BeatHead (prototype)
