zip
005|d123fe67
10yard|8f401426|10-Yard Fight (World, set 1)
10yard85|1c4a5277|10-Yard Fight '85 (US, Taito license)
10yardj|0d35203b|10-Yard Fight (Japan)
1941|de03fb24|1941: Counter Attack (World)
1941j|3e3858d8|1941: Counter Attack (Japan)
1942|f52d7d3c|1942 (Revision B)
1942a|88b9f6eb|1942 (Revision A)
1942abl|c039d049|1942 (Revision A, bootleg)
1942b|5d8905a6|1942 (First Version)
1942w|a348c6c4|1942 (Williams Electronics license)
1943|d0e80fef|1943: The Battle of Midway (Euro)
1943j|47fdfba8|1943: Midway Kaisen (Japan)
1943kai|992baef8|1943 Kai: Midway Kaisen (Japan)
1943u|433c6a96|1943: The Battle of Midway (US)
1944|bf48ae9d|1944: The Loop Master (USA 000620)
1944d|978b8601|1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg)
1944j|57e2752b|1944: The Loop Master (Japan 000620)
1945kiii|0b7a7ea5|1945k III
19xx|6bb6455b|19XX: The War Against Destiny (USA 951207)
19xxa|5a09d89f|19XX: The War Against Destiny (Asia 951207)
19xxb|b187162c|19XX: The War Against Destiny (Brazil 951218)
19xxd|8cbdbba4|19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg)
19xxh|0d82ada5|19XX: The War Against Destiny (Hispanic 951218)
19xxj|d3214452|19XX: The War Against Destiny (Japan 951225)
19xxjr1|d85b1a1c|19XX: The War Against Destiny (Japan 951207)
1on1gov|87b82444|1 on 1 Government (Japan)
2020bb|493c034c|2020 Super Baseball (set 1)
2020bba|21a9d59a|2020 Super Baseball (set 2)
2020bbh|49c9262d|2020 Super Baseball (set 3)
20pacgal|b5f27cb7|Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.08)
20pacgalr1|e0c17f32|Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.01)
20pacgalr2|5b4187e7|Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.02)
20pacgalr4|b40d298d|Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.04)
39in1|7d9cc353|39 in 1 MAME bootleg
3bagflnz|abe7d8ba|3 Bags Full - 3VXFC5345 (New Zealand)
3countb|7ba4e7b5|3 Count Bout / Fire Suplex
3ds|28ae71bf|Three Ds - Three Dealers Casino House
3in1semi|c8ce23a8|XESS - The New Revolution (SemiCom 3-in-1)
3kokushi|ee207169|Sankokushi (Japan)
3stooges|5fe01517|The Three Stooges In Brides Is Brides
3wonders|6daba1fd|Three Wonders (World 910520)
3wondersh|a5006905|Three Wonders (hack)
3wondersu|42a1b2af|Three Wonders (USA 910520)
40love|c7304fc0|Forty-Love
47pie2|09321e19|Idol Janshi Su-Chi-Pie 2 (v1.1)
47pie2o|97f1499c|Idol Janshi Su-Chi-Pie 2 (v1.0)
4dwarrio|8f8b819b|4-D Warriors (315-5162)
4enraya|50d10961|4 En Raya
4in1|fd889783|4 Fun in 1
4in1boot|2dc36e99|Puzzle King (includes bootleg of Snow Bros.)
4psimasy|3fccda0f|Mahjong 4P Simasyo (Japan)
5clown|97b36d3e|Five Clown (English, set 1)
5clowna|a225b8a1|Five Clown (English, set 2)
5clownsp|cf0296f7|Five Clown (Spanish hack)
600|d5525571
64street|5ab8660e|64th. Street - A Detective Story (World)
64streetj|1ffe5fb9|64th. Street - A Detective Story (Japan)
720|18bcda87|720 Degrees (rev 4)
720g|73f867c2|720 Degrees (German, rev 2)
720gr1|4c77d9dc|720 Degrees (German, rev 1)
