rom
10-Yard Fight (Japan)|4E20D256
10-Yard Fight (Japan) (Alt)|879E6DDB
1942 (Japan)|2019002,A27787AF
1942 (Japan) (Alt)|2019002,E54EE601
3-D Golf Simulation (Japan)|0C989AD1
3-D Golf Simulation (Japan) (Alt)|F83D4B0D
3-D Golf Simulation (Japan) (High Speed)|CB935A50
3D Tennis (Japan)|FB00F21B
A.E. (Japan)|2E1B3DD4
A1 Spirit - The Way to Formula-1 (Japan)|2608C959,RC752
Actman (Japan)|E4DBCDBD
Actman (Japan) (Alt)|7179A4BD
Adven' Chuta! (Japan)|96E02DF3
Albatros (Japan)|847FC6E2
Albatros (Japan) (Alt)|E27F41DF
Alcazar - The Forgotten Fortress (Japan)|3EE454B0
Alcazar - The Forgotten Fortress (Japan) (Alt)|BAF2C03C
Alibaba and 40 Thieves (Japan)|2F72B1E3
Alibaba and 40 Thieves (Japan) (Alt 2)|F1D176FF
Alibaba and 40 Thieves (Japan) (Alt)|F1B90309
Alien 8 (Japan)|93A25BE1
Alien 8 (Japan) (Alt)|3B4ED316
Aliens - Alien 2 (Japan)|C6FC7BD7
Aliens - Alien 2 (Japan) (Alt 2)|3DDCB524
Aliens - Alien 2 (Japan) (Alt)|A6E924AB
Alpha Roid (Japan)|4EF7C4E7
Alpha Roid (Japan) (Alt)|716DC9AF
Alpha Squadron (Japan)|055254E0
American Truck (Japan)|EE8BC1B7
American Truck (Japan) (Alt 2)|D9F1354B
American Truck (Japan) (Alt)|1DD9B4D9
Anaza - Kaleidoscope Special (Japan)|7DC880EB
Angelo (Japan)|20143EC7
Angelo (Japan) (Alt)|3D8D0F4B
Animal Land (Japan)|15A0F98A,E-G192
Antarctic Adventure (Europe)|6B739C93,RC701
Antarctic Adventure (Europe) (Alt)|E8BDDEDD,RC701
Antarctic Adventure (Japan)|AAE7028B,RC700
Anty (Japan)|B1ACE0A0
Anty (Japan) (Alt)|5BAACB31
Aqua Polis SOS (Japan)|F115257A
Aquattack (Japan)|F3297895
Aramo (Japan)|AB6B56BA
Arkanoid (Japan)|C9A22DFC
Arkanoid (Japan) (Alt 2)|38A00D1B
Arkanoid (Japan) (Alt 3)|140A5965
Arkanoid (Japan) (Alt)|4FD4F778
Athletic Ball (Japan)|11BAC0E6
Athletic Land (Japan)|7B1ACDEA
Athletic Land (Japan) (Alt)|D14361B2
Athletic Land (Japan) (Beta)|E4A428B5
Attack Four Volley Ball (Japan)|7FDF81E9
B.C.'s Quest (Japan)|9C9420D0
B.C.'s Quest (Japan) (Alt)|E2400F55
Back Gammon (Japan)|B632B6BB
Back Gammon (Japan) (Alt)|70C79A87
Back to the Future (Japan)|DBDB64AC
Back to the Future (Japan) (Alt)|795C7AA1
Backgammon (Europe)|B3694E5A
Balance (Japan)|CDABD75B
Balance (Japan) (Alt 2)|86EA609D
Balance (Japan) (Alt 3)|D8349993
Balance (Japan) (Alt 4)|6DB125D7
Balance (Japan) (Alt)|336FDCD9
Banana (Japan)|6AA7CBE0
Bank Panic (Japan)|D5E18DF0,R49X5807
Bank Panic (Japan) (Alt)|A0A844CA,R49X5807
Basic Lessons 1 (Japan)|EE0A750E
Basic Lessons 2 (Japan)|13014324
Batman (Japan)|637F0494
Batten Tanuki no Daibouken (Japan) (Alt 2)|42262BD4
Batten Tanuki no Daibouken (Japan) (Alt)|E403EBEA
Batten Tanuki no Daibouken (Japan) (v1.03)|EBA0738D
Battle Cross (Japan)|25E675EA
Battleship Clapton II (Japan)|85F4767B
Battleship Clapton II (Japan) (Alt)|2DE725A3
Beach-Head (Europe)|785FA4CC
Beam Rider (Japan)|1553E408
Beam Rider (Japan) (Alt)|D6A6BEE6
Becky (Japan)|A580B72A
Becky (Japan) (Alt 2)|14156258
Becky (Japan) (Alt)|D062AD02
Bee & Flower (Japan)|0AD3707D
Bee & Flower (Japan) (Alt 2)|CF2335C7
Bee & Flower (Japan) (Alt)|36FC4792
Bifamu (Japan)|F3C1119A
Bifamu (Japan) (Alt)|FDAA85F0
Binary Land (Japan)|FBACBC7A
Black Onyx II, The - Search for the Fire Crystal (Japan)|67BF8337
Black Onyx, The (Japan)|E258C032
Blagger MSX (Europe) (Converted from Tape)|50475A7C
Block Hole (Korea) (Unl)|824AE486
Blockade Runner (Japan)|8334B431
Boggy '84 (Japan)|EC089246
Boggy '84 (Japan) (Alt 2)|A4BF1253
Boggy '84 (Japan) (Alt)|22E8B312
Boing Boing (Spain)|F44E7FCD
Bokosuka Wars (Japan)|DD6D9AAD
Bokosuka Wars (Japan) (Alt)|93B8917A
Bomber King (Japan)|8CF0E6C0
Bomberman (Japan)|9A5AEF05
Bomberman Special (Japan)|042AD44D
Boogie Woogi Jungle (Japan)|90CCEA11
Boogie Woogi Jungle (Japan) (Alt 2)|464E7594
Boogie Woogi Jungle (Japan) (Alt)|374B63C9
Boomerang (Japan)|0A140B27
Boomerang (Japan) (Alt)|5F1F9288
Borfesu (Japan)|E040E8A1
Bosconian (Japan)|02F1997A
Bosconian (Japan) (Alt 2)|626132AE
Bosconian (Japan) (Alt)|AF3C5D48
Bouken Roman - Dota (Japan)|57EFCA5A
Bouken Roman - Dota (Japan) (Alt)|C5CA7DFF
Boulder Dash (Japan)|A3A56524
Bouncing Block (Spain)|CF270C3B
Bouncing Block (Spain) (Alt)|A80D0063
Brain, The (Japan)|BB402B47
Break In (Japan)|8801B31E
Break Out (Japan)|70113F76
Brother Adventure (Korea) (Unl)|3CA757D0
Brother Adventure (Korea) (Unl) (Alt)|FE0A902C
Bruce Lee (Japan)|A20B196D
Bubble Bobble (Korea) (Unl)|6D1B1EE1
Bubble Bobble (Korea) (Unl) (Alt)|0BC2C4AC
Burgertime (Japan)|E4A7C230
Buru To Marty Kikiippatsu - Inspecteur Z (Japan)|9CF39BD6
Butam Pants (Japan)|4B2AA972,HM-007
Butam Pants (Japan) (Alt 2)|A102F82D,HM-007
Butam Pants (Japan) (Alt)|4474CA21,HM-007
C-So! (Japan)|DF8BFC89
Cabbage Patch Kids (Japan)|057D2790,RC716
Cabbage Patch Kids (Japan) (Alt)|97A1B4B9,RC716
Candoo Ninja (Japan)|B6AB6786
Candoo Ninja (Japan) (Alt)|037BA8B7
Cannon Ball (Japan)|A667AD8A
Cannon Ball (Japan) (Alt)|B64390E7
Cannon Fighter (Japan)|9C7FB01E,GPM-118
Captain Chef (Japan)|8E985857
Car Fighter (Japan)|303187F5,GPM-118
Car Jamboree (Japan)|94FC9169
Car Jamboree (Japan) (Alt)|A24195FA
Car-Race (Japan)|3F0DB564
Car-Race (Japan) (Alt 2)|51445292
Car-Race (Japan) (Alt)|9538D829
Casio Daishogai Keiba (Japan)|5312DB08
Casio Pachinko-U.F.O. (Japan)|4088EFAA
Casio Ski Command (Japan)|D8750242
Casio Ski Command (Japan) (Alt)|EDB91850
Casio Worldopen (Japan)|338491F5
Castle Excellent (Japan)|90F38029
Castle Excellent (Japan) (Alt)|3794A648
Castle, The (Japan)|2149C32D
Chack'n Pop (Japan)|04F7E0B1
Chack'n Pop (Japan) (Alt)|0FFF4D26
Challenge Derby (Japan)|A90DAA22
Champion Boxing (Japan)|C4B7A5B9
Champion Ice Hockey (Japan)|BF4B018F
Champion Kendou (Japan)|0103C767
Champion Kendou (Japan) (Alt)|6F05E6BF
Champion Pro Wrestling (Japan)|6686C84E
Champion Pro Wrestling (Japan) (Alt 2)|D4B0ACCD
Champion Pro Wrestling (Japan) (Alt)|8D658F41
Champion Soccer (Japan)|67AB6F8F
Championship Lode Runner (Japan)|2F75E79C,HBS-G047C
Checkers in Tantan Tanuki (Japan)|D2B8C058
Chess (Japan)|11EED1C7
Chess Game, The (Europe)|28277362
Choplifter (Japan)|1F5EAFC8
Choplifter (Japan) (Alt 2)|155768B0
Choplifter (Japan) (Alt)|C6F30D45
Choro Q (Japan)|5506BF9B
Choro Q (Japan) (Alt)|65B34072
Chugaku Hisshu Eibunpo 1 (Japan)|097E4A7E
Circus Charlie (Japan)|83B8D8F3,RC712
City Connection (Japan)|6031A583
City Connection (Japan) (Alt)|625C3689
Coaster Race (Japan)|399FD445
Coaster Race (Japan) (Alt 2)|00D996FF
Coaster Race (Japan) (Alt)|A48ACFF7
Color Ball (Japan)|12552A1F
Color Ball (Japan) (Alt 2)|F4F6E561
Color Ball (Japan) (Alt)|73F1E939
Columns (Japan)|21A0B009
Come On! Picot (Japan)|98B1CC99
Comecocos (Spain)|5CFC6700
Comet Tail (Japan)|74AF0726
Comic Bakery (Japan)|A4097E41
Comic Bakery (Japan) (Alt 2)|03DAE53C
Comic Bakery (Japan) (Alt)|9A70D9C9
Computer Billiards (Japan)|9098682D
Computer Nyuumon - Computer Lessons (Japan)|50BB1930
Computer Othello (Japan)|6936C965
Computer Othello (Japan) (Alt)|6A8ED770
Computer Pachinko (Japan)|1BD2C6B3
Con-Dori (Japan)|D9006EBE
Con-Dori (Japan) (Alt 2)|69405F96
Con-Dori (Japan) (Alt)|CE71BB57
Confused (Europe)|63084E71
Cosmo (Japan)|5780ACFD
Cosmo (Japan) (Alt)|FF3C8091
Cosmo-Explorer (Japan)|3F534824
Cosmo-Explorer (Japan) (Alt)|D21F6B76
Courageous Perseus (Japan)|B6D707C7
Courageous Perseus (Japan) (Alt)|0FAD4984
Craze (Japan)|D83966D0,HRM-22
Crazy Bullet (Japan)|D0E8F418
Crazy Bullet (Japan) (Alt)|4651FFD0
Crazy Cars (Europe)|DE18372D
Crazy Train (Japan)|39E6FF25
Crazy Train (Japan) (Alt)|B8764CD3
Cross Blaim (Japan)|47273220
Crusader (Japan)|0B69DD50
Crusader (Japan) (Alt 2)|40AFEF74
Crusader (Japan) (Alt)|E167FEDE
D-Day (Japan)|5D284EA6
D-Day (Japan) (Alt 2)|A7F0DD41
D-Day (Japan) (Alt 3)|A89B0F57
D-Day (Japan) (Alt)|6641C97A
Daidasso (Japan)|FC17C9BC
Daiva Story 4 - Asura's Bloodfeud (Japan)|99198ED9
Dam Busters, The (Japan)|6FDE5BCA
Dam Busters, The (Japan) (Alt)|711A7A6E
Danger X4 (Japan)|571F12FB
Danger X4 (Japan) (Alt 2)|22F5E82A
Danger X4 (Japan) (Alt)|3CF16A16
David II (Japan)|E04BFFE5
Dawn Patrol (Japan)|1FC65E80
Decathlon (Japan)|CD016B93
Decathlon (Japan) (Alt)|F99B1C22
Deep Dungeon (Japan)|27FD8F9A
Deep Dungeon II (Japan)|101DB19C
Demon Crystal, The (Japan)|11DE4DFD
Demonia I (Europe)|BCC4DD7A
Devil's Heaven (Japan)|CE08F27D
Dig Dug (Japan)|3C749758
Dig Dug (Japan) (Alt)|7C3D7DEA
Digital Devil Monogatari Megami Tensei (Japan)|25FC11FA
Digital Devil Monogatari Megami Tensei (Japan) (Alt)|367D385E
Dip Dip (Spain)|9A2CC849
Doki Doki Penguin Land (Japan)|652D0E39
Doki Doki Penguin Land (Japan) (Alt)|DE4AF7F6
Doordoor (Japan)|F8AD9717
Dorodon (Japan)|5AA63A76
Double Dragon (Korea) (Unl)|C70E3A34
Dr. Copy (Japan)|F7848700
Dragon Attack (Japan)|A0FF8771
Dragon Attack (Japan) (Alt)|981FACD3
Dragon Quest (Japan)|49F5478B,E-G186
Dragon Quest II (Japan)|8076FEC6,E-G207
Dragon Quest II (Japan) (Alt)|D44165A3,E-G207
Dragon Slayer (Japan)|6A515349
Dragon Slayer II - Xanadu (Japan)|D640DEAF
Dragon Slayer IV - Drasle Family (Japan)|87DCD309
Dragon Slayer Jr. - Romancia (Japan)|387C1DE7
Drainer (Japan)|DB803E8A,M-2009
Druaga no Tou (Japan)|47BEF309
Dungeon Hunter (Japan)|2526E568
Dungeon Master (Japan)|33700744
Dunk Shot (Japan)|6C366B32,HM-021
Dunk Shot (Japan) (Alt)|99B7EAB1,HM-021
Dynamite Bowl (Japan)|47EC57DA
Eagle Fighter (Japan)|5C808E73
Eagle Fighter (Japan) (Alt)|CF7EDAEB
Eggerland Mystery (Japan)|232B1050,HM-018
Elevator Action (Japan)|39886593
Erika (Japan)|85AC5626
Exa Innova (Japan)|4FF88059
Exa Innova (Japan) (Alt)|D5B51149
Exchanger (Japan)|2C2B8A0E
Exchanger (Japan) (Alt)|691C0503
Exerion (Japan)|7ABEFD3D,DP-3912010
Exerion (Japan) (Alt 2)|369CB84E,DP-3912010
Exerion (Japan) (Alt)|24B3B811,DP-3912010
Exerion II - Zorni (Japan)|0B6C146F,HX-S118
Exerion II - Zorni (Japan) (Alt)|F3144243,HX-S118
Exoide-Z (Japan)|6E19C254
Exoide-Z (Japan) (Alt 2)|2D97D2BD
Exoide-Z (Japan) (Alt)|0C7FB621
Exoide-Z Area 5 (Japan)|AD529DF0,GPM-129
F-1 Spirit - The Way to Formula-1 (Japan)|12BFD3A9,RC752
F-1 Spirit - The Way to Formula-1 (Japan) (Alt)|64D2DF7C,RC752
F16 Fighting Falcon (Japan)|70A0CB2C
Fa Tetris (Korea) (Unl)|1EC87E3A
Fairy (Japan)|314728C3
Fairy Land Story, The (Japan)|26E34F05
Fairy Land Story, The (Japan) (Alt)|C032376B
Fandom Library #1 (Japan)|519BE53E
Fandom Library #2 (Japan)|53C25B6B
Fandom Library #3 (Japan)|790D5335
Fantasy Zone (Japan)|3E96D005,R55X5812
Fathom (Japan)|F06A58DA
Final Justice (Japan)|851BA4BB
Final Justice (Japan) (Alt 2)|B1663DE8
Final Justice (Japan) (Alt)|41A86301
Final Mahjong (Japan)|B120B314
Final Zone Wolf (Japan)|14E2EFCC
Fire Rescue (Japan)|8005A9BA,MX-1008
Fire Rescue (Japan) (Alt)|7B2EF621,MX-1008
Flappy (Japan)|B6285A0B
Flappy (Japan) (Alt)|56EC7BBF
Flappy - Limited 85 (Japan)|4A4F3084
Flash Point (Korea) (Unl)|C4A33DA7
Flash Point (Korea) (Unl) (Alt)|25708CFA
Flash Splash (Japan)|5C187CF7
Flicky (Japan)|88250E5D
Flics, Les (France)|0304CD28
Flight Deck (Japan)|A00526D0
Flight Deck (Japan) (Alt)|4B162065
Flight Simulator (Japan)|A6165BD4,MSX-FS
Flipper Slipper (Japan)|FD7DE91E
Flipper Slipper (Japan) (Alt)|F0B5FE8D
Formation Z (Japan)|37B55D09
Formation Z (Japan) (Alt)|74560BBD
Frogger (Japan)|97E2FCB4,RC704
Frogger (Japan) (Alt)|71EDC580,RC704
Front Line (Japan)|B9D03F7B
Front Line (Japan) (Alt 2)|5958F98C
Front Line (Japan) (Alt)|8D632577
Fruit Search (Japan)|EBA95A38
Fruit Search (Japan) (Alt)|B1160421
Funky Mouse (Japan)|B5C0DACE
Futbol (Spain)|1DE36299
Fuun Takeshijyou (Japan)|C57272C3
Galaga (Japan)|8856961D
Galaga (Japan) (Alt 2)|6ED06EE5
Galaga (Japan) (Alt 3)|A7F6F597
Galaga (Japan) (Alt)|89F7FB19
Galaxian (Japan)|E223FFD1
Galaxian (Japan) (Alt 2)|E6F9D8A7
Galaxian (Japan) (Alt)|4980FFAC
Gall Force - Defense of Chaos (Japan)|99EF860E,HBS-G053C
Gall Force - Defense of Chaos (Japan) (Alt 2)|EC036E37,HBS-G053C
Gall Force - Defense of Chaos (Japan) (Alt)|F65B5271,HBS-G053C
Gambler Jiko Chuushinha (Japan)|91955BCD
