pce
1943 Kai (Japan)|FDE08D6D,NX91002
21 Emon - Mezase Hotel Ou!! (Japan)|73614660,HE93003
Adventure Island (Japan)|8E71D4F3,HC91035
Aero Blasters (Japan)|25BE2B81,HC90038
Aero Blasters (USA)|B03E0B32,TGX040051
After Burner II (Japan)|CA72A828,NAPH-1011
Air Zonk (USA)|933D5BCC,TGX040084
Air Zonk (USA) (Beta)|4F8299C8
Alien Crush (Japan)|60EDF4E1,NX63001
Alien Crush (USA)|EA488494,NPUF-30008
All Star Power League (Japan)|04A85769,HC63011
Andre Panza Kick Boxing (USA)|A980E0E9,TGX040068
Ankoku Densetsu (Japan)|CACC06FB,JC63007
Aoi Blink (Japan)|25D34A20,08A09B9A,HC90030
Appare! Gateball (Japan)|2B54CBA2,HC63013
Armed F (Japan)|20EF87FD,PV2004
Artist Tool (Japan)|5E4FA713
Atomic Robo-Kid Special (Japan)|DD175EFD,UP01001
AV Poker - World Gambler (Japan) (Unl)|B866D282
Ballistix (Japan)|8ACFC8AA,CJ0001
Ballistix (USA)|420FA189,TGX030059
Bari Bari Densetsu (Japan)|C267E25D,TP01003
Barunba (Japan)|4A3DF3CA,NC90003
Batman (Japan)|106BB7B2,SS90003
Battle Lode Runner (Japan)|59E44F45,HC93054
Battle Royale (USA)|E70B01AF,TGX030049
Be Ball (Japan)|261F1013
Benkei Gaiden (Japan)|E1A73797,SS89002
Benkei Gaiden (Japan) (Virtual Console)|C9626A43,SS89002
Bikkuriman World (Japan)|02DB6FE5,2841FD1E,HC62002
Blazing Lazers (USA)|B4A1B0F6,TGX030010
Blodia (Japan)|958BCD09,HC90027
Bloody Wolf (USA)|37BAF6BC,TGX040037
Bodycon Quest II (Japan) (Unl)|FFD92458
Bomberman '93 (Japan)|B300C5D0,HC92061
Bomberman '93 (USA)|56171C1C,TGX040093
Bomberman '93 (USA, Europe) (Virtual Console)|4C7BA73B
Bomberman '93 - Special Version (Japan)|02309AA0,HC92061
Bomberman '94 (Japan)|05362516,NPJJ-30001
Bomberman (Japan)|9ABB4D1F,HC90036
Bomberman (USA)|5F6F3C2A,TGX020053
Bomberman (USA) (Bomberman Collection)|3D1F8ECE
Bomberman - Users Battle (Japan)|1489FA51
Bonk 3 - Bonk's Big Adventure (USA)|5A3F76D8,TGX080097
Bonk's Adventure (USA)|599EAD9B,TGX030028
Bonk's Revenge (USA)|14250F9A,TGX040058
Bonk's Revenge (USA, Europe) (Virtual Console)|F36FFEE1
Bouken Danshaku Don - The Lost Sunheart (Japan)|8F4D9F94,IM92001
