sms
20 em 1 (Brazil)|F0F35C22
3 in 1 - The Best Game Collection (A) (Korea) (En) (Unl)|98AF0236
3 in 1 - The Best Game Collection (B) (Korea) (En) (Unl)|6EBFE1C3
3 in 1 - The Best Game Collection (C) (Korea) (En) (Unl)|81A36A4F
3 in 1 - The Best Game Collection (D) (Korea) (En) (Unl)|8D2D695D
3 in 1 - The Best Game Collection (E) (Korea) (En) (Unl)|82C09B57
3 in 1 - The Best Game Collection (F) (Korea) (En) (Unl)|4088EEB4
3D Gunner (USA) (Beta)|56DCB2D4
4 PAK All Action (Australia) (Unl)|A67F2A5C
8 in 1 - The Best Game Collection (A) (Korea) (En) (Unl)|FBA94148
8 in 1 - The Best Game Collection (B) (Korea) (En) (Unl)|8333C86E
8 in 1 - The Best Game Collection (C) (Korea) (En) (Unl)|00E9809F
94 Super World Cup Soccer (Korea) (Unl)|060D6A7C
94-Nen Super Basketball (Taiwan) (En) (Unl)|6FE448A5
Ace of Aces (Europe, Brazil)|887D9F6B,8635
Action Boy (Taiwan) (En) (Unl)|D0263024
Action Fighter (Japan, Europe)|D91B340D
Action Fighter (Japan, Europe) (Beta)|E2D765AD
Action Fighter (Taiwan) (Unl)|8418F438
Action Fighter (USA, Europe, Brazil) (Rev 1)|3658F3E0
Addams Family, The (Europe)|72420F38,MK-27067
Aerial Assault (Europe, Brazil)|ECF491CF,7041
Aerial Assault (Taiwan) (En) (Unl)|6630E5FD
Aerial Assault (USA)|15576613,7041
After Burner (World)|1C951F8E,9001
Agigongnyong Dooly (Korea) (Unl)|4F1BE9FA
Air Rescue (Europe, Brazil)|8B43D21D,7102
Aladdin (Europe, Brazil)|C8718D40
Aleste (Japan)|D8C4165B,G-1352
Alex Kidd - High-Tech World (USA, Europe, Brazil)|013C0A94
Alex Kidd - High-Tech World (USA, Europe, Brazil) (Beta)|2D7FABB2
Alex Kidd - The Lost Stars (World)|C13896D5,7005
Alex Kidd in Miracle World (USA, Europe)|17A40E29
Alex Kidd in Miracle World (USA, Europe, Brazil) (Rev 1)|AED9AAC4
Alex Kidd in Miracle World (World) (Ja) (Sega Ages)|6F5F3DAA
Alex Kidd in Miracle World (World) (Sega Ages)|50A8E8A7
Alex Kidd in Miracle World 2 (World) (Unl)|7DE172FF
Alex Kidd in Shinobi World (USA, Europe, Brazil)|D2417ED7
Alex Kidd no Miracle World (Japan)|08C9EC91,G-1306
Alex Kido (Taiwan) (En) (Unl)|6F8E46CF
Alf (USA)|82038AD4,5111
Alibaba and 40 Thieves (Korea) (En) (Unl)|08BF3DE3
Alien 3 (Europe, Brazil)|B618B144,MK-27043-50
Alien Storm (Europe, Brazil)|7F30F793,7075
Alien Syndrome (Japan)|4CC11DF9,G-1339
Alien Syndrome (USA, Europe, Brazil)|5CBFE997
Alien Syndrome (USA, Europe, Brazil) (Beta)|C148868C
Alocos (Taiwan) (En) (Unl)|5E4B454E
Altered Beast (USA, Europe, Brazil)|BBA2FE98
American Baseball (Europe, Brazil)|7B27202F,7019
American Pro Football (Europe)|3727D8B2,7020
Andre Agassi Tennis (Europe, Brazil)|F499034D,MK-27051
Anmitsu Hime (Japan)|FFF63B0B,G-1328
Arcade Smash Hits (Europe)|E4163163,MK-27032
Argos no Juujiken (Japan)|BAE75805,001
Ariel - The Little Mermaid (Brazil)|F4B3A7BD
Ashura (Japan)|AE705699,G-1307
Assault City (Europe) (Joypad)|0BD8DA96,7034
Assault City (USA, Europe, Brazil) (Light Phaser)|861B6E79,7034
Asterix (Europe, Brazil) (En,Fr)|147E02FA,9008
Asterix (Europe, Brazil) (En,Fr) (Rev 1)|8C9D5BE8,9008
Asterix and the Great Rescue (Europe, Brazil) (En,Fr,De,Es,It)|F9B7D26B,9032
Asterix and the Secret Mission (Europe, Brazil) (En,Fr,De)|DEF9B14E,9023
Astro Adventure (Taiwan) (En) (Unl)|FB163003
Astro Flash (Japan)|C795182D,C-503
Astro Warrior & Pit Pot (Europe)|69EFD483,6081
